"id","region_id","name","latitude","longitude","order_num","show_at_zoom","show_on_main_map","show_on_voyage_map"
"60426","60400","Gold Coast from Kormatine to Accra","5.3578419999999998","-0.56000000000000005","60426","0","f","t"
"60502","60500","Costa da Mina","0","0","60502","0","f","t"
"60504","60500","Agora","0","0","60504","0","f","t"
"60505","60500","Amokou","0","0","60505","0","f","t"
"60513","60500","Ife","0","0","60513","0","f","t"
"60519","60500","Lay","0","0","60519","0","f","t"
"60520","60500","Legas","0","0","60520","0","f","t"
"60522","60500","Pataquery","0","0","60522","0","f","t"
"60525","60500","Rio Nazareth","0","0","60525","0","f","t"
"60602","60600","Barabalemo","0","0","60602","0","f","t"
"60603","60600","Bilbay","0","0","60603","0","f","t"
"60607","60600","Bundy","0","0","60607","0","f","t"
"60611","60600","Cape Baxos","0","0","60611","0","f","t"
"60614","60600","Cape Lopez and Annobon","0","0","60614","0","f","t"
"60616","60600","Corisco and Princes Island","1.562854","7.4405010000000003","60616","0","t","t"
"60617","60600","Fockey","0","0","60617","0","f","t"
"60618","60600","Forke","0","0","60618","0","f","t"
"60621","60600","Liverpool River","0","0","60621","0","f","t"
"60623","60600","Quaqua","0","0","60623","0","f","t"
"60626","60600","Timbeys","0","0","60626","0","f","t"
"60660","60600","Gulf of Guinea islands","0","0","60660","0","f","t"
"60662","60600","Epee and Princes Islands","0","0","60662","0","f","t"
"60664","60600","Fernando Po and Cameroons","0","0","60664","0","f","t"
"60665","60600","Fernando Po and Princes Islands","0","0","60665","0","f","t"
"60666","60600","Juda and Princes Islands","0","0","60666","0","f","t"
"60667","60600","Juda, Epee, Princes Island, and Annobon","0","0","60667","0","f","t"
"60669","60600","Princes Island and Annobon","0","0","60669","0","f","t"
"60670","60600","Princes Island and Cape Lopez","0","0","60670","0","f","t"
"60671","60600","Princes Island and São Tomé","0.25573899999999999","6.5435160000000003","60671","0","t","t"
"60672","60600","Principe, Cap Lopez, Annobon","0","0","60672","0","f","t"
"60674","60600","São Tomé and Annobon","0","0","60674","0","f","t"
"60675","60600","São Tomé and Cape Lopez","0","0","60675","0","f","t"
"60677","60600","Costa de Africa (mainland coast around S Tome/Principe)","0","0","60677","0","f","t"
"60701","60700","Alecuba","0","0","60701","0","f","t"
"60702","60700","Ambona","0","0","60702","0","f","t"
"60705","60700","Barra de Cariba, Luanda","0","0","60705","0","f","t"
"60706","60700","Bengo","0","0","60706","0","f","t"
"60710","60700","Bomara","0","0","60710","0","f","t"
"60712","60700","Cabo Lopo Gonçalves","0","0","60712","0","f","t"
"60713","60700","Cape Mole","0","0","60713","0","f","t"
"60714","60700","Cape Padroon","0","0","60714","0","f","t"
"60719","60700","Grenada Point","0","0","60719","0","f","t"
"60720","60700","Iron Point","0","0","60720","0","f","t"
"60721","60700","Kacongo","0","0","60721","0","f","t"
"60723","60700","Liverpool River","0","0","60723","0","f","t"
"60727","60700","Metrueba","0","0","60727","0","f","t"
"60728","60700","Mossulo, Luanda","0","0","60728","0","f","t"
"60729","60700","Mpinda","-6.1369999999999996","12.513533000000001","60729","0","t","t"
"60731","60700","Penido","0","0","60731","0","f","t"
"60801","60800","Anghoza River","0","0","60801","0","f","t"
"60802","60800","Cabo Delgado","0","0","60802","0","f","t"
"60805","60800","Costa Leste Occidental","0","0","60805","0","f","t"
"60812","60800","Mauratan","0","0","60812","0","f","t"
"60813","60800","Morondova","0","0","60813","0","f","t"
"60814","60800","Port Dauphin","0","0","60814","0","f","t"
"60815","60800","St. Mary's Island","0","0","60815","0","f","t"
"60816","60800","Tulia","0","0","60816","0","f","t"
"60817","60800","Mocambo","0","0","60817","0","f","t"
"60819","60800","Momboza or Zanzibar","0","0","60819","0","f","t"
"60821","60800","Pomba, Monfia","0","0","60821","0","f","t"
"60824","60800","St. Lawrence","0","0","60824","0","f","t"
"60832","60800","Bourbon","0","0","60832","0","f","t"
"60834","60800","Port-Louis","0","0","60834","0","f","t"
"60837","60800","Mauritius (Ile de France)","0","0","60837","0","f","t"
"60838","60800","Ascension, Assomption, and Bourbon","0","0","60838","0","f","t"
"60899","60800","Southeast Africa and Indian Ocean islands, port unspecified","0","0","60899","0","f","t"
"60901","60900","Princes Island and Elmina","0","0","60901","0","f","t"
"60902","60900","Angola (possibly New Calabar)","0","0","60902","0","f","t"
"60903","60900","Senegambia or Sierra Leone","0","0","60903","0","f","t"
"60908","60900","West of Cape Apolonia","0","0","60908","0","f","t"
"60909","60900","Angola to Ardra","0","0","60909","0","f","t"
"60912","60900","Windward + Ivory + Gold + Benin","0","0","60912","0","f","t"
"60913","60900","C.C. Castle and Windward","0","0","60913","0","f","t"
"60914","60900","Gold Coast + Bight of Benin + Bight of Biafra","0","0","60914","0","f","t"
"60981","60900","Causacoo (location undetermined)","0","0","60981","0","f","t"
"60982","60900","Cape St Martha (location undetermined)","0","0","60982","0","f","t"
"21399","21300","South Carolina, port unspecified","32.780962000000002","-79.935535000000002","21399","0","f","t"
"21999","21900","USA, location unspecified","32.780963","-79.935535000000002","21999","0","f","t"
"21904","21900","Carolinas","32.780963999999997","-79.935535000000002","21904","0","f","t"
"10199","10100","Spain, port unspecified","36.533611999999998","-6.2994440000000003","10199","0","f","t"
"10113","10100","Vigo","42.233330000000002","-8.7200000000000006","10113","0","f","t"
"20699","20600","New York","40.714579999999998","-74.007080000000002","20699","0","t","t"
"32130","32100","Bonaire","12.199999999999999","-68.5","32130","0","f","t"
"33599","33500","St. Kitts, port unspecified","17.300000000000001","-62.716670000000001","33599","0","t","t"
"34299","34200","Barbados, port unspecified","13.1","-59.600000000000001","34299","0","t","t"
"36299","36200","Guadeloupe, port unspecified","16","-61.716667000000001","36299","0","f","t"
"37010","37000","St. Croix","17.773050000000001","-64.819999999999993","37010","0","t","t"
"37020","37000","St. Thomas","18.34141","-64.939999999999998","37020","0","t","t"
"50299","50200","Bahia, port unspecified","-12.971109999999999","-38.510829999999999","50299","0","t","t"
"50399","50300","Pernambuco, port unspecified","-8.0538900000000009","-34.88111","50399","0","t","t"
"31299","31200","Puerto Rico, port unspecified","18.466329999999999","-66.105720000000005","31299","0","t","t"
"31399","31300","Cuba, port unspecified","21.771574000000001","-78.920867000000001","31399","0","f","t"
"33299","33200","Tortola, port unspecified","18.34732","-64.719999999999999","33299","0","t","t"
"33799","33700","Montserrat, port unspecified","16.699999999999999","-62.216670000000001","33799","0","t","t"
"33899","33800","Dominica, port unspecified","15.300000000000001","-61.399999999999999","33899","0","t","t"
"34199","34100","St. Lucia, port unspecified","14","-61","34199","0","t","t"
"34399","34300","St. Vincent, port unspecified","13.133330000000001","-61.216670000000001","34399","0","t","t"
"34499","34400","Grenada, port unspecified","12.050000000000001","-61.75","34499","0","t","t"
"34599","34500","Trinidad, port unspecified","10.65","-61.516669999999998","34599","0","t","t"
"60716","60700","Congo North","-3.15469","10.380000000000001","60716","0","t","t"
"60983","60900","Casnasonis (location undetermined)","0","0","60983","0","f","f"
"60984","60900","Massa (location undetermined)","0","0","60984","0","f","f"
"60985","60900","Touau-Toro (location undetermined)","0","0","60985","0","f","f"
"60986","60900","Cape Logas (location undetermined)","0","0","60986","0","f","f"
"60999","60900","Africa., port unspecified","0","0","60999","0","f","f"
"60916","60900","Windward Coast (Nunez - Assini)","0","0","60916","0","f","f"
"60917","60900","Gold Coast, Fr. definition","0","0","60917","0","f","f"
"80299","80200","Americas, port unspecified","0","0","80299","0","f","f"
"80399","80300","Asia e Africa, port unspecified","0","0","80399","0","f","f"
"80499","80400","Spanish Americas, port unspecified","0","0","80499","0","f","f"
"80599","80500","British Americas, port unspecified","0","0","80599","0","f","f"
"80602","80600","Goa","0","0","80602","0","f","f"
"80603","80600","Calcutta","0","0","80603","0","f","f"
"60112","60100","Oibo","0","0","60112","0","f","f"
"60115","60100","Rio Bolola","0","0","60115","0","f","f"
"60116","60100","Rio Bramiah","0","0","60116","0","f","f"
"60127","60100","Santa Catarina do Fogo","0","0","60127","0","f","f"
"60518","60500","Lamo River","0","0","60518","0","f","f"
"32240","32200","Suriname","5.9585939999999997","-55.675989999999999","32240","0","t","t"
"60501","60500","Benin","6.3175999999999997","5.6144999999999996","60501","0","t","t"
"33401","33400","Saint John (Antigua)","17.116669999999999","-61.850000000000001","33401","0","t","t"
"33601","33600","Newcastle (Nevis)","17.199999999999999","-62.583333000000003","33601","0","t","t"
"35509","35500","Hamilton (Bermuda)","32.294167000000002","-64.783889000000002","60123","0","t","t"
"35508","35500","Bermuda","32.294167000000002","-64.783889000000002","60122","0","f","t"
"10716","10700","Marseilles","43.299999999999997","5.4000000000000004","10716","0","t","t"
"10438","10400","New Shoreham","50.833333000000003","-0.23333300000000001","10438","0","f","f"
"10462","10400","Shoreham","50.833333000000003","-0.23333300000000001","10462","0","f","t"
"50204","50200","Taipu","-5.6166669999999996","-35.600000000000001","50204","0","f","t"
"41215","41200","Margarita","10.949999999999999","-64.079999999999998","41215","0","f","t"
