voyageid,adpsale1,adpsale2,adult1,adult2,adult3,adult4,adult5,adult6,arrport,arrport2,boy1,boy2,boy3,boy4,boy5,boy6,captaina,captainb,captainc,child1,child2,child3,child4,child5,child6,constreg,crew,crew1,crew2,crew3,crew4,crew5,crewdied,datedepa,datedepb,datedepc,d1slatra,d1slatrb,d1slatrc,dlslatra,dlslatrb,dlslatrc,ddepam,ddepamb,ddepamc,datarr32,datarr33,datarr34,datarr36,datarr37,datarr38,datarr39,datarr40,datarr41,datarr43,datarr44,datarr45,embport,embport2,embreg,embreg2,fate,female1,female2,female3,female4,female5,female6,girl1,girl2,girl3,girl4,girl5,girl6,guns,infant1,infant3,infant4,jamcaspr,majbuypt,majselpt,male1,male2,male3,male4,male5,male6,men1,men2,men3,men4,men5,men6,national,ncar13,ncar15,ncar17,ndesert,npafttra,nppretra,npprior,ownera,ownerb,ownerc,ownerd,ownere,ownerf,ownerg,ownerh,owneri,ownerj,ownerk,ownerl,ownerm,ownern,ownero,ownerp,plac1tra,plac2tra,plac3tra,placcons,placreg,portdep,portret,regarr,regarr2,regdis1,regdis2,regdis3,regem1,regem2,regem3,regisreg,resistance,retrnreg,retrnreg1,rig,saild1,saild2,saild3,saild4,saild5,shipname,sla1port,slaarriv,sladafri,sladamer,sladvoy,slas32,slas36,slas39,slavema1,slavema3,slavemx1,slavemx3,slavmax1,slavmax3,slavmax7,slinten2,slintend,sourcea,sourceb,sourcec,sourced,sourcee,sourcef,sourceg,sourceh,sourcei,sourcej,sourcek,sourcel,sourcem,sourcen,sourceo,sourcep,sourceq,sourcer,tonnage,tontype,tslavesd,tslavesp,voyage,women1,women2,women3,women4,women5,women6,xmimpflag,yearaf,yearam,yeardep,yrcons,yrreg,natinimp,year5,year10,year25,year100,tonmod,fate2,fate3,fate4,ncartot,pctemb,mjbyptimp,slastot,pctdis,mjslptimp,ptdepimp,deptregimp,majbyimp,mjselimp,deptregimp1,majbyimp1,mjselimp1,slaximp,slamimp,vymrtimp,tslmtimp,vymrtrat,adlt1imp,chil1imp,male1imp,feml1imp,chilrat1,malrat1,menrat1,womrat1,boyrat1,girlrat1,adlt3imp,chil3imp,male3imp,feml3imp,chilrat3,malrat3,menrat3,womrat3,boyrat3,girlrat3,slavema7,slavemx7,men7,women7,boy7,girl7,adult7,child7,male7,female7,menrat7,womrat7,boyrat7,girlrat7,malrat7,chilrat7,adlt2imp,chil2imp,male2imp,feml2imp
30943, , , , ,0, , ,0, , , , ,51, , ,0,"Dubord, J","Bertrand de Savenay, J", , , ,0, , ,0, , ,23, , , , ,7,18,3,1771,15,7,1771,24,9,1771, , , ,25,11,1771, , , , , , ,21,3,1772,60799, ,60700, ,1, , , , , , , , ,28, , ,0, , ,0, , ,60799,36403, , , , , , , , ,152, , ,0,10, , , ,1, ,1, ,"Guillon, Daniel", , , , , , , , , , , , , , , ,60799, , , , ,10720,10720, , ,36400, , ,60700, , , , ,10700,10000, ,0,1,5,1,0,Vermudien,36403,297, , , , , , , ,297, ,297, ,297,297, , ,"mettas,I","LList, 11 Feb 1772", , , , , , , , , , , , , , , , ,120,4, , , , , ,66, , ,0,117,1771,1771,1771, , ,10,55,28,11,1700,218.3,1,14,1, , ,60799, , ,36403,10720,10700,60700,36400,10000,60000,30000,325,297, , , , , , , , , , , , , ,218,79,203,94,.265993265993266,.683501683501683,.511784511784512,.222222222222222,.171717171717172,.0942760942760943,297,297,152,66,51,28,218,79,203,94,.511784511784512,.222222222222222,.171717171717172,.0942760942760943,.683501683501683,.265993265993266, , , , 
31062, , , , , , , , , , , , , , , , ,"Arnout, Jean", , , , , , , , , , ,24, , , , ,3,17,9,1776,15,10,1776, , , , , , ,20,6,1777, , , , , , ,18,5,1778, , , , ,1, , , , , , , , , , , , , , , , , ,60199,36404, , , , , , , , , , , , ,10, , , ,7, , ,1,Le Grand (le Jeune),Galittrat, , , , , , , , , , , , , , ,60109,60299,60108, , ,10720,10720, , ,36400, , ,60100,60200,60100, , ,10700,10000, ,0,2,1,0,0,Cupidon,36404,97, , , , , , , , , , , , , , , ,"mettas,I", , , , , , , , , , , , , , , , , ,80,4,100, , , , , , , , ,102,1776,1777,1776, , ,10,56,28,12,1700,80,1,14,1, , ,60199, , ,36404,10720,10700,60100,36400,10000,60000,30000,100,97,3,100,.03, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31087, , , , , , , , , , , , , , , , ,"Banaud, Mathurin", , , , , , , , , , ,23, , , , ,14,7,1,1778,17,4,1778,20,9,1778, , , ,5,11,1778, , , , , , ,19,6,1779, , , , ,1, , , , , , , , , , , , , , , , ,53.28, ,36202, , , , , , , , , , , , ,10, , , , , ,1, ,"Martineau, Jacques", , , , , , , , , , , , , , , , , , , , ,10720,10720, , ,36200, , , , , , , ,10700,10000, ,1,7,3,3,0,Deux Amis,36202,275, ,8, ,265,0,0, , , , , , , , , ,"mettas,I", , , , , , , , , , , , , , , , , ,120,4, , , , , , , , , ,133,1778,1778,1778, , ,10,56,28,12,1700,120,1,14,1, , , ,265,.963636363636364,36202,10720,10700, ,36200,10000, ,30000,315,275, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31100, , , , , , , , , , , , , , , , ,Wibert, , , , , , , , , , ,39, , , , , ,22,4,1783,12,9,1783,28,1,1784, , , , ,5,1784, , , , , , , , , , , , , ,4, , , , , , , , , , , , , , , , ,58.09,60820,36403, , , , , , , , , , , , ,10,301,0,0, ,60803, , ,Chaurand,Chaurand (Frères)*, , , , , , , , , , , , , , ,60820, , , , ,10720, , , ,36400, , ,60800, , , , , , , , , , , , ,Rose,36403,228, , ,73,203,0,0, , , , , , , , , ,"mettas,I","Meyer,304", , , , , , , , , , , , , , , , ,200,4,301, , , , , , , , ,123,1784,1784,1783, , ,10,57,29,12,1700, ,1,1,2,301,1,60820,203,.890350877192982,36403,10720,10700,60800,36400,10000,60000,30000,301,228,73,301,.242524916943522, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31140, , , , , , , , , , , , , , , , ,"Marchis, Noël", , , , , , , , , , ,46, , , , ,9,10,10,1784,14,1,1785,27,5,1785, , , ,23,7,1785, , , , , , ,9,1,1786, , , , ,1, , , , , , , , , , , , , , , , , ,60523,36409, , , , , , , , , , , , ,10, , , ,1, ,1, ,Guillon (Fils)*,"Lapiverdière, de", , , , , , , , , , , , , , ,60912,60523, , , ,10720,10720, , ,36400, , ,60900,60500, , , ,10700,10000, ,1,4,3,1,0,Jean Marie,36409,450, , , , , , , , , , , , , , , ,"mettas,I", , , , , , , , , , , , , , , , , ,300,4, , , , , , , , , ,133,1785,1785,1784, , ,10,57,29,12,1700, ,1,14,1, , ,60999, , ,36409,10720,10700,60900,36400,10000,60000,30000,515,450, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31144, , , , , , , , , , , , , , , , ,"Le Sourd, J-F", , , , , , , , , , , , , , , , ,16,12,1784, , , , , , , , , ,28,3,1785, , , , , , , , , ,60118, ,60100, ,49, , , , , , , , , , , , , , , , , , ,36412, , , , , , , , , , , , ,10, , , , , , , ,Ménard, , , , , , , , , , , , , , , , , , , , ,10720, , , ,36400, , , , , , , , , , , , , , , ,Épreuve,36412,200, , , , , , , , , , , , , , , ,"mettas,I","Meyer,410", , , , , , , , , , , , , , , , ,70,4, , , , , , , , , ,102,1784,1785,1784, , ,10,57,29,12,1700, ,1,14,1, , ,60118, , ,36412,10720,10700,60100,36400,10000,60000,30000,223,200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31151, , , , , , , , , , , , , , , , ,"Pascaud, Pierre", , , , , , , , , , ,41, , , , ,0,25,3,1785,2,7,1785,8,11,1785, , , ,28,3,1786, , , , , , ,29,7,1786,60820, ,60800, ,1, , , , , , , , , , , , , , , , , ,60820,36403, , , , , , , , , , , , ,10, , , , ,60803, , ,Plombard,Legris, , , , , , , , , , , , , , ,60820, , , , ,10720,10720, , ,36400, , ,60800, , , , ,10700,10000, , , , , , ,Flore,36403,300, , , , , , , , , , , , , , , ,"mettas,I", , , , , , , , , , , , , , , , , ,300,4, , , , , , , , , ,123,1785,1786,1785, , ,10,58,29,12,1700, ,1,14,1, , ,60820, , ,36403,10720,10700,60800,36400,10000,60000,30000,414,300, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31261, , , , , , , , , , , , , , , , ,Le Breton, , , , , , , , , , ,35, , , , ,17,31,7,1788,28,9,1788,23,12,1788, , , ,3,2,1789, , , , , , ,31,5,1789,60799, ,60700, ,1, , , , , , , , , , , , , , , , , ,60717,36404, , , , , , , , , , , , ,10, , , , , , , ,Riedy,Thurninger, , , , , , , , , , , , , , ,60717, , , , ,10720,10720, , ,36400, , ,60700, , , ,1,10700,10000, ,0,8,8,1,0,Georgette,36404,343, , , , , , , , , , , , , , , ,"mettas,I", , , , , , , , , , , , , , , , , ,332,4, , , , , , , , , ,117,1788,1789,1788, , ,10,58,29,12,1700, ,1,14,1, , ,60717, , ,36404,10720,10700,60700,36400,10000,60000,30000,375,343, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31305, , , , , , , , , , , , , , , , ,Duchesne Clément, , , , , , , , , , ,52, , , , ,7,13,8,1789,18,11,1789,13,7,1790, , , ,18,9,1790, , , , , , ,24,4,1791, , , , ,1, , , , , , , , , , , , , , , , , ,60517,36412, , , , , , , , , , , , ,10, , , ,7, ,1, ,Arnou (Père),Arnou (Fils)*, , , , , , , , , , , , , , ,60912,60517, , , ,10720,10720, , ,36400, , ,60900,60500, , , ,10700,10000, ,0,6,1,0,0,Comte de Montmorin,36412,110, , , , , , , , , , , , , , , ,"mettas,I","Meyer,406", , , , , , , , , , , , , , , , ,1230,4, , , , , , , , , ,133,1790,1790,1789, , ,10,58,29,12,1700, ,1,14,1, , ,60999, , ,36412,10720,10700,60900,36400,10000,60000,30000,126,110, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31340, , , , , , , , , , , , , , , , ,"Carou, Jean", , , , , , , , , , ,50, , , , ,3,15,6,1790,1,9,1790,6,11,1790, , , ,17,1,1791, , , , , , ,8,6,1791, , , , ,1, , , , , , , , , , , , , , , , , , ,36412, , , , , , , , , , , , ,10, , , ,1,60673,1,1,"Drouin, Louis*", , , , , , , , , , , , , , , , , , , , ,10720,10720, , ,36400, , , , , , , ,10700,10000, ,0,3,0,0,0,Confiance,36412,450, , , , , , , , , , , , , , , ,"mettas,I", , , , , , , , , , , , , , , , , ,437,4, , , , , , , , , ,133,1790,1791,1790, , ,10,59,30,12,1700, ,1,14,1, , , , , ,36412,10720,10700, ,36400,10000, ,30000,515,450, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31369, , , , , , , , , , , , , , , , ,"Guichet, Julien", , , , , , , , , , ,44, , , , ,7,18,3,1791,15,5,1791,16,8,1791, , , ,17,10,1791, , , , , , ,19,2,1792, , , , ,1, , , , , , , , , , , , , , , , , ,60699,36404, , , , , , , , , , , , ,10, , , , , , , ,"Mosneron, Joseph", , , , , , , , , , , , , , , ,60608,60605, , , ,10720,10720, , ,36400, , ,60600,60600, , , ,10700,10000, ,0,2,2,3,0,Eole,36404,336, , , , , , , , , , , , , , , ,"mettas,I", , , , , , , , , , , , , , , , , ,540,4, , , , , , , , , ,114,1791,1791,1791, , ,10,59,30,12,1700, ,1,14,1, , ,60699, , ,36404,10720,10700,60600,36400,10000,60000,30000,415,336, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31426, , , , , , , , , , , , , , , , ,"Orceneaux, Jean-Baptiste", , , , , , , , , , , , , , , , ,27,1,1793, , , , , , , , , , , , , , , , , , , , , , , , , ,11, , , , , , , , , , , , , , , , , ,60717, , , , , , , , , , , , , ,10, , , , , , , ,Cotteau,Ruinet,Potet, , , , , , , , , , , , , ,60717, , , , ,10720, , , , , , ,60700, , , , , , , , , , , , ,Convention, , , , , , , , , , , , , , , , , ,"mettas,I", , , , , , , , , , , , , , , , , ,250,4, , , , , , , , , ,117,1793,1793,1793, , ,10,59,30,12,1700, ,1,3,3, , ,60717, , , ,10720,10700,60700, ,10000,60000, ,374,342, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31456, , , , , , , , , , , , , , , , ,"Mesnard, Pierre", , , , , , , , , , , , , , , ,1,2,1,1741,2,4,1741, , , , , , , , , , , , , , , , , , , , , , ,77, , , , , , , , , , , , , , , , , ,60318, , , , , , , , , , , , , ,10, , , , , , , ,"Marchais, Jean", , , , , , , , , , , , , , , ,60318, , , , ,10703, , , , , , ,60300, , , , , , , ,1, , , , ,Henriette, , , , , , , , , , , , , , , , , ,"mettas,II","Saugera,351-62", , , , , , , , , , , , , , , , ,95,4, , , , , , , , , ,120,1741,1741,1741, , ,10,49,25,10,1700,173.3,5,14,1, , ,60318, , , ,10703,10700,60300, ,10000,60000, ,213,192, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31464, , , , , , , , , , , , , , , , ,"Chastaing, Isaac", , , , , , , , , , , , , , , , ,22,11,1741, , , , , , , , , , , , , , , , , , , , , ,60999, ,60900, ,77, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , , , ,"Alexandre, Samuel (Fils)*", , , , , , , , , , , , , , , , , , , , ,10703, , , , , , , , , , , , , , , , , , , ,Afriquain, , , , , , , , , , , , , , , , , ,"mettas,II","Saugera,351-62", , , , , , , , , , , , , , , , ,100,4, , , , , , , , , ,131,1741,1741,1741, , ,10,49,25,10,1700,182.3,5,14,1, , ,60999, , , ,10703,10700,60900, ,10000,60000, ,322,273, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31518, , , , , , , , , , , , , , , , ,"Meyrac, Georges",Beaux, , , , , , , , , , , , , , , ,27,2,1754, , , , , , , , , ,12,6,1755, , , , , , , , , , , , , ,49, , , , , , , , , , , , , , , , , , ,36403, , , , , , , , , , , , ,10, , , , , , , ,"Seguy, Antoine", , , , , , , , , , , , , , , , , , , , ,10703, , , ,36400, , , , , , , , , , , , , , , ,Pacifique,36403,203, , , , , , , , , , , , , , , ,"mettas,II","Saugera,351-62", , , , , , , , , , , , , , , , ,120,4, , , , , , , , , ,132,1754,1755,1754, , ,10,51,26,11,1700,218.3,1,14,1, , , , , ,36403,10703,10700, ,36400,10000, ,30000,231,203, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31542, , , , , , , , , , , , , , , , ,"Kanon, Jacques", , , , , , , , , , , , , , , , ,10,8,1766, , , , , , , , , ,21,7,1767, , , , , , , , , , , , , ,49, , , , , , , , , , , , , , , , , , ,36403, , , , , , , , , , , , ,10, , , , , , , ,"Cabarus Jeune, Dominique", , , , , , , , , , , , , , , , , , , , ,10703, , , ,36400, , , , , , , , , , , , , , , ,Roi de Cabinde,36403, , , , , , , , , , , , , , , , ,"mettas,II","Saugera,351-62", , , , , , , , , , , , , , , , ,290,4, , , , , , , , , ,132,1766,1767,1766, , ,10,54,27,11,1700,332.1,1,14,1, , , , , ,36403,10703,10700, ,36400,10000, ,30000,305,268, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31765, , , , , , , , , , , , , , , , ,"Gourrège, Joseph", , , , , , , , , , , , , , , , ,29,8,1789, , , , , , , , , ,14,11,1790, , , , , , , , , , , , , ,49, , , , , , , , , , , , , , , , , ,60799,36412, , , , , , , , , , , , ,10, , , , , , ,1,"Raymond, A", , , , , , , , , , , , , , , ,60799, , , , ,10703, , , ,36400, , ,60700, , , , , , , , , , , , ,Comte de Toulouse,36412,191, , , , , , , , , , , , , , , ,"mettas,II","Saugera,351-62", , , , , , , , , , , , , , , , ,249,4, , , , , , , , , ,117,1789,1790,1789, , ,10,58,29,12,1700, ,1,14,1, , ,60799, , ,36412,10703,10700,60700,36400,10000,60000,30000,209,191, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31776, , , , , , , , , , , , , , , , ,"Seguin, J-B", , , , , , , , , , , , , , , , ,28,11,1789, , , ,24,11,1790, , , ,11,2,1791, , , , , , , , , , , , , ,49, , , , , , , , , , , , , , , , , ,60799,36412, , , , , , , , , , , , ,10, , , , , , ,1,"Nairac, P",Nairac (Fils Aîné), , , , , , , , , , , , , , ,60799, , , , ,10703, , , ,36400, , ,60700, , , , , , , , , , , , ,Résolution,36412,140, , , , , , , , , , , , , , , ,"mettas,II","LList, 1 Apr 1791","Saugera,351-62", , , , , , , , , , , , , , , ,102,4, , , , , , , , , ,117,1790,1791,1789, , ,10,59,30,12,1700, ,1,14,1, , ,60799, , ,36412,10703,10700,60700,36400,10000,60000,30000,153,140, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31858, , , , ,0, , ,0, , , , ,18, , ,0,Saujon, , , , ,0, , ,0, , , , , , , , ,7,10,1764, , , , , , , , , ,20,1,1767, , , , , , , , , , , , , ,49, , , , , , , , ,13, , ,0, , ,0, , ,60321,36414, , , , , , , , ,55, , ,0,10, , , , , , , ,"Delattre, A", , , , , , , , , , , , , , , ,60321, , , , ,10709, , , ,36400, , ,60300, , , , , , , , , , , , ,Barbançon,36414,112, , , , , , , ,112, ,112, ,112,112, , ,"mettas,II","LList, 26 Oct 1764", , , , , , , , , , , , , , , , ,150,4, , , , , ,26, , ,0,120,1764,1767,1764, , ,10,54,27,11,1700,272.3,1,14,1, , ,60321, , ,36414,10709,10700,60300,36400,10000,60000,30000,125,112, , , , , , , , , , , , , ,81,31,73,39,.276785714285714,.651785714285714,.491071428571429,.232142857142857,.160714285714286,.116071428571429,112,112,55,26,18,13,81,31,73,39,.491071428571429,.232142857142857,.160714285714286,.116071428571429,.651785714285714,.276785714285714, , , , 
31868, , , , , , , , , , , , , , , , ,Villeneuve, , , , , , , , , , , , , , , , ,26,3,1772, , , , , , ,4,7,1773,12,1,1773, , , , , , ,9,7,1773, , , , ,1, , , , , , , , , , , , , , , , , ,60917,36403, , , , , , , , , , , , ,10, , , , , , , ,Willems, , , , , , , , , , , , , , , ,60917, , , , ,10709,10709, , ,36400, , ,60900, , , , ,10700,10000, , , , , , ,Marquis de Brancas,36414, , , , , , , , , , , , , , , , ,"mettas,II","Pfister-Langanay, annexe 2", , , , , , , , , , , , , , , , ,140,4, , , , , , , , , ,132,1772,1773,1772, , ,10,55,28,11,1700,254.3,1,14,1, , ,60917, , ,36414,10709,10700,60900,36400,10000,60000,30000,305,268, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32024, , , , , , , , , , , , , , , , ,Avril, , , , , , , , , , , , , , , , , , ,1710, ,6,1710, , , , , , , ,4,1711, , , , , , , , , , , , , ,49, , , , , , , , , , , , , , , , , ,60515,36403, , , , , , , , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , ,60109,60515, , , ,10712, , , ,36400, , ,60100,60500, , , , , , , , , , , ,François d'Assise,36403,400, , , , , , , , , , , , , , , ,"mettas,II", , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1710,1711,1710, , ,10,43,22,9,1700, ,1,14,1, , ,60999, , ,36403,10712,10700,60900,36400,10000,60000,30000,495,400, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32046, , , , , , , , , , , , , , , , ,"Auboineau, René","Herault, Louis", , , , , , , , , ,51, , , , , ,11,3,1722, , , , , , , , , , , , , , , , , , ,18,10,1723, , , , ,1, , , , , , , , , , , , , , , , , , ,36499, , , , , , , , , , , , ,10, , , , , , , ,Dujardin, , , , , , , , , , , , , , , , , , , , ,10712,10712, , ,36400, , , , , , , ,10700,10000, , , , , , ,Médée,36499, , , , , , , , , , , , , , , , ,"mettas,II", , , , , , , , , , , , , , , , , , , , , , , , , , , , ,130,1722,1722,1722, , ,10,45,23,9,1700, ,1,14,1, , , , , ,36499,10712,10700, ,36400,10000, ,30000,272,228, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32064, , , , , , , , , , , , , , , , ,"Dechezeau, Et", , , , , , , , , , , , , , , , ,8,12,1732,3,4,1733,30,6,1733, , , , , , , , , , , , ,23,4,1735, , , , ,1, , , , , , , , , , , , , , , , , ,60511,36499, , , , , , , , , , , , ,10,400,0,0, , , , ,"Dujardin, Elie", , , , , , , , , , , , , , , ,60511, , , , ,10712,10712, , ,36400, , ,60500, , , , ,10700,10000, , , , , , ,Aurore,36499, , , , , , , , , , , , , , , , ,"mettas,II", , , , , , , , , , , , , , , , , ,200,4,400, , , , , , , , ,111,1733,1733,1732, , ,10,47,24,10,1700,305.3,1,14,1,400,1,60511, , ,36499,10712,10700,60500,36400,10000,60000,30000,400,346, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32070, , , , , , , , , , , , , , , , ,"Durand, Jean", , , , , , , , , , , , , , , , ,13,7,1734, ,11,1734, , , , , , ,13,9,1735, , , , , , ,22,1,1736, , , , ,1, , , , , , , , , , , , , , , , , ,60515,36411, , , , , , , , , , , , ,10, , , , , , , ,"Belin, Allard", , , , , , , , , , , , , , , ,60515, , , , ,10712,10712, , ,36400, , ,60500, , , , ,10700,10000, , , , , , ,Valeur,36411, , , , , , , , , , , , , , , , ,"mettas,II", , , , , , , , , , , , , , , , , ,150,4, , , , , , , , , ,111,1734,1735,1734, , ,10,47,24,10,1700,272.3,1,14,1, , ,60515, , ,36411,10712,10700,60500,36400,10000,60000,30000,370,320, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32088, , , , , , , , , , , , , , , , ,"La Place, Pierre de", , , , , , , , , , , , , , , , ,28,8,1737, ,4,1738,8,6,1738,20,5,1739, ,8,1738, , , , , , ,9,7,1739, , , , ,1, , , , , , , , , , , , , , , , , ,60515,36414, , , , , , , , , , , , ,10, , , , , , , ,"Saint-Mimy, de", , , , , , , , , , , , , , , ,60515, , , , ,10712,10712, , ,36400, , ,60500, , , , ,10700,10000, , , , , , ,Concorde,36414,300, , , , , , , , , , , , , , , ,"mettas,II", , , , , , , , , , , , , , , , , ,230,4, , , , , , , , , ,111,1738,1738,1737, , ,10,48,24,10,1700,341.3,1,14,1, , ,60515, , ,36414,10712,10700,60500,36400,10000,60000,30000,347,300, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32091, , , , , , , , , , , , , , , , ,Le Tondu, , , , , , , , , , , , , , , , ,4,11,1737, , , , , , , , , , ,2,1739, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,60509,36405, , , , , , , , , , , , ,10, , , , ,60668, , ,"La Croix, Théod de", , , , , , , , , , , , , , , ,60509, , , , ,10712,10712, , ,36400, , ,60500, , , , ,10700,10000, , , , , , ,Palmier,36405,251, , , , , , , , , , , , , , , ,"mettas,II", , , , , , , , , , , , , , , , , ,100,4, , , , , , , , , ,111,1737,1739,1737, , ,10,48,24,10,1700,182.3,1,14,1, , ,60509, , ,36405,10712,10700,60500,36400,10000,60000,30000,290,251, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32131, , , , , , , , , , , , , , , , ,"Tessier, Pierre", , , , , , , , , , , , , , , ,13,19,8,1740, , , , , , , , , , , , , , , , , , ,19,1,1742, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , , , ,"Dubeignon, Harouard", , , , , , , , , , , , , , , , , , , , ,10712,10712, , , , , , , , , , ,10700,10000, , , , , , ,Jason, , , , , , , , , , , , , , , , , ,"mettas,II", , , , , , , , , , , , , , , , , ,250,4, , , , , , , , , ,131,1740,1740,1740, , ,10,48,24,10,1700,365.3,1,14,1, , , , , , ,10712,10700, , ,10000, , ,322,273, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32136, , , , , , , , , , , , , , , , ,"Levasseur, Ch", , , , , , , , , , , , , , , ,9,17,10,1740, , , , , , , , , , , , , , , , , , ,2,7,1742, , , , ,1, , , , , , , , , , , , , , , , , , ,36499, , , , , , , , , , , , ,10, , , , , , , ,"Labbé, Jean", , , , , , , , , , , , , , , , , , , , ,10712, , , ,36400, , , , , , , , , , , , , , , ,Mars,36499, , , , , , , , , , , , , , , , ,"mettas,II", , , , , , , , , , , , , , , , , ,100,4, , , , , , , , , ,131,1740,1740,1740, , ,10,48,24,10,1700,182.3,1,14,1, , , , , ,36499,10712,10700, ,36400,10000, ,30000,322,273, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32208, , , , , , , , , , , , , , , , ,"Chambort, Fr", , , , , , , , , , , , , , , , ,26,6,1750, , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , , , ,"Demonty, Michel", , , , , , , , , , , , , , , , , , , , ,10712, , , , , , , , , , , , , , , , , , , ,Mars, , , , , , , , , , , , , , , , , ,"mettas,II", , , , , , , , , , , , , , , , , ,70,4, , , , , , , , , ,131,1750,1750,1750, , ,10,50,25,10,1700,128.3,4,1,2, , , , , , ,10712,10700, , ,10000, , ,322,273, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32211, , , , , , , , , , , , , , , , ,Avrillon,Ferée, , , , , , , , , , , , , , ,15,9,9,1750, , , ,28,11,1750, , , ,30,12,1750, , , , , , , , , , , , , ,49, , , , , , , , , , , , , , , , , ,60199,36403, , , , , , , , , , , , ,10,412,164,0, , , , ,"Pascaud, Joseph", , , , , , , , , , , , , , , ,60118,60109, , , ,10712, , , ,36400, , ,60100,60100, , ,1, , , , ,6, ,3, ,Sultane,36403, , , , , , , , , , , , , , , , ,"mettas,II","PruneauPommegorge,104-118","Searing, 147-8", , , , , , , , , , , , , , , ,420,4, , , , , , , , , ,102,1750,1750,1750, , ,10,50,25,10,1700,475.1,1,14,1,576, ,60118, , ,36403,10712,10700,60100,36400,10000,60000,30000,576,516, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32220, , , , , , , , , , , , , , , , ,Midy,Marchand, , , , , , , , , , , , , , ,10,11,10,1752, ,1,1753, ,6,1753, , , , , , , , , , , , , , , , , , , ,59, , , , , , , , , , , , , , , , , ,60599, , , , , , , , , , , , , ,10,0,230,0, , , , ,Rasteau (Père),Rasteau (Fils)*, , , , , , , , , , , , , , ,60321,60511,60515, , ,10712, , , , , , ,60300,60500,60500, ,1, , , ,0,10,0,0,0,Maréchal de Saxe, , , , , , , , , , , , , , , , , ,"mettas,II", , , , , , , , , , , , , , , , , ,260,4, , , , , , , , , ,111,1753,1753,1752, , ,10,51,26,11,1700,299.1,5,14,2,230, ,60511, , , ,10712,10700,60500, ,10000,60000, ,230,199, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
